Sequence,Volt,Start,Increment
1080,8.60000e+00,,
1081,7.80000e+00,,
1082,8.60000e+00,,
1083,7.80000e+00,,
1084,8.60000e+00,,
1085,7.80000e+00,,
1086,8.60000e+00,,
1087,7.80000e+00,,
1088,8.60000e+00,,
1089,7.80000e+00,,
1090,8.60000e+00,,
1091,7.80000e+00,,
1092,8.60000e+00,,
1093,7.80000e+00,,
1094,8.60000e+00,,
1095,7.80000e+00,,
1096,8.60000e+00,,
1097,4.00000e-01,,
1098,4.00000e-01,,
1099,7.40000e+00,,
1100,7.80000e+00,,
1101,8.60000e+00,,
1102,7.80000e+00,,
1103,8.60000e+00,,
1104,8.60000e+00,,
1105,7.80000e+00,,
1106,8.60000e+00,,
1107,7.80000e+00,,
1108,8.60000e+00,,
1109,7.80000e+00,,
1110,8.60000e+00,,
1111,7.80000e+00,,
1112,8.60000e+00,,
1113,7.80000e+00,,
1114,8.60000e+00,,
1115,7.80000e+00,,
1116,8.60000e+00,,
1117,7.80000e+00,,
1118,8.60000e+00,,
1119,7.80000e+00,,
1120,8.60000e+00,,
1121,7.80000e+00,,
1122,8.60000e+00,,
1123,7.80000e+00,,
1124,8.60000e+00,,
1125,7.80000e+00,,
1126,8.60000e+00,,
1127,1.60000e+00,,
1128,1.20000e+00,,
1129,4.00000e-01,,
1130,4.00000e-01,,
1131,8.60000e+00,,
1132,8.60000e+00,,
1133,7.80000e+00,,
1134,8.60000e+00,,
1135,7.80000e+00,,
1136,8.60000e+00,,
1137,7.80000e+00,,
1138,8.60000e+00,,
1139,7.80000e+00,,
1140,8.60000e+00,,
1141,7.80000e+00,,
1142,8.60000e+00,,
1143,7.80000e+00,,
